Guideline,Restrictions in place
Mask,"Required in bars, public transport, stores and busy outdoor places"
Travel ,"Proof of a negative test result required or
Proof of full vaccination required or
Proof of recovery required
"
"Countries allowed
to enter", All EU countries
"Countries NOT 
allowed
to enter","Botswana 
Brazil 
Eswatini 
India 
Lesotho 
Malawi 
Mozambique 
Nepal 
South Africa
United Kingdom
Zambia 
Zimbabwe 
"
